CX Calls Call Started Date,CX Calls Call Started Hour of Day,calls,emails,chats,sms,orders
1/1/2016,16,0,877,0,0,725
1/1/2016,8,0,361,0,0,81
1/1/2016,7,0,65,0,0,9
1/1/2016,19,0,501,0,0,357
1/1/2016,15,0,889,0,0,605
1/1/2016,22,0,317,5,0,177
1/1/2016,10,0,385,0,0,165
1/1/2016,12,0,825,0,0,473
1/1/2016,18,0,589,0,0,629
1/1/2016,11,0,589,0,0,209
1/1/2016,1,0,97,0,0,145
1/1/2016,6,0,25,0,0,33
1/1/2016,14,0,1021,0,0,593
1/1/2016,5,0,37,0,0,13
1/1/2016,20,0,693,0,0,213
1/1/2016,0,0,249,0,0,213
1/1/2016,17,0,773,0,0,701
1/1/2016,13,0,725,0,0,545
1/1/2016,3,0,45,0,0,29
1/1/2016,9,0,1333,0,0,69
1/1/2016,21,0,301,0,0,241
1/1/2016,2,0,69,0,0,97
1/1/2016,23,0,329,9,0,125
1/1/2016,4,0,57,0,0,9
1/2/2016,19,0,737,41,0,885
1/2/2016,10,0,745,41,0,365
1/2/2016,4,0,93,0,0,33
1/2/2016,21,0,665,0,0,397
1/2/2016,5,0,261,0,0,1
1/2/2016,0,0,233,0,0,117
1/2/2016,3,0,41,9,0,21
1/2/2016,7,0,125,13,0,17
1/2/2016,16,0,1341,85,0,2241
1/2/2016,18,0,1033,85,0,1721
1/2/2016,22,0,557,0,0,305
1/2/2016,17,0,1401,73,0,1905
1/2/2016,2,0,109,5,0,29
1/2/2016,13,0,1253,85,0,1593
1/2/2016,20,0,705,33,0,593
1/2/2016,23,0,293,0,0,181
1/2/2016,8,0,189,13,0,41
1/2/2016,9,0,629,65,0,73
1/2/2016,14,0,1805,109,0,2061
1/2/2016,11,0,1001,117,0,805
1/2/2016,12,0,1133,101,0,1193
1/2/2016,6,0,41,0,0,1
1/2/2016,15,0,1449,81,0,1965
1/2/2016,1,0,161,5,0,49
1/3/2016,21,0,961,1,0,449
1/3/2016,23,0,537,0,0,249
1/3/2016,9,0,641,0,0,133
1/3/2016,1,0,221,0,0,73
1/3/2016,11,0,1169,65,0,593
1/3/2016,3,0,33,0,0,49
1/3/2016,14,0,1489,81,0,1385
1/3/2016,2,0,169,0,0,33
1/3/2016,13,0,1277,81,0,1193
1/3/2016,19,0,1353,93,0,745
1/3/2016,4,0,113,0,0,21
1/3/2016,8,0,185,0,0,29
1/3/2016,5,0,109,0,0,1
1/3/2016,20,0,985,73,0,529
1/3/2016,18,0,1269,57,0,1057
1/3/2016,7,0,101,0,0,17
1/3/2016,16,0,1493,89,0,1585
1/3/2016,12,0,1185,65,0,961
1/3/2016,17,0,1333,77,0,1461
1/3/2016,15,0,1197,49,0,1489
1/3/2016,0,0,349,0,0,133
1/3/2016,6,0,69,0,0,0
1/3/2016,22,0,697,0,0,305
1/3/2016,10,0,609,33,0,245
1/4/2016,7,0,329,0,0,13
1/4/2016,13,0,3641,289,0,1225
1/4/2016,3,0,81,0,0,21
1/4/2016,20,0,1229,129,0,705
1/4/2016,12,0,2993,241,0,1257
1/4/2016,2,0,177,0,0,25
1/4/2016,17,0,2761,209,0,1525
1/4/2016,22,0,1057,0,0,365
1/4/2016,0,0,425,0,0,157
1/4/2016,23,0,697,0,0,237
1/4/2016,15,0,3205,261,0,1325
1/4/2016,14,0,17997,341,0,1369
1/4/2016,21,0,1205,13,0,605
1/4/2016,10,0,2437,241,0,669
1/4/2016,4,0,181,0,0,9
1/4/2016,5,0,97,0,0,1
1/4/2016,18,0,2301,265,0,1237
1/4/2016,1,0,137,0,0,65
1/4/2016,11,0,2621,217,0,881
1/4/2016,16,0,2737,237,0,1337
1/4/2016,19,0,1577,173,0,945
1/4/2016,8,0,741,0,0,97
1/4/2016,9,0,2025,141,0,353
1/4/2016,6,0,197,0,0,21
1/5/2016,21,0,1601,0,0,637
1/5/2016,18,0,2425,181,0,1285
1/5/2016,9,0,1009,169,0,377
1/5/2016,20,0,1365,149,0,817
1/5/2016,23,0,913,0,0,321
1/5/2016,6,0,121,0,0,13
1/5/2016,1,0,349,0,0,109
1/5/2016,17,0,2761,221,0,1337
1/5/2016,22,0,1241,0,0,517
1/5/2016,8,0,493,0,0,105
1/5/2016,12,0,3201,233,0,1053
1/5/2016,4,0,41,0,0,25
1/5/2016,11,0,2705,209,0,689
1/5/2016,3,0,165,0,0,25
1/5/2016,14,0,5785,229,0,1137
1/5/2016,15,0,3773,341,0,1401
1/5/2016,19,0,1497,109,0,925
1/5/2016,10,0,2225,181,0,573
1/5/2016,7,0,353,0,0,41
1/5/2016,16,0,3477,317,0,1389
1/5/2016,13,0,2449,245,0,1185
1/5/2016,2,0,201,0,0,49
1/5/2016,0,0,373,0,0,173
1/5/2016,5,0,81,0,0,0
1/6/2016,3,0,121,0,0,41
1/6/2016,8,0,793,0,0,105
1/6/2016,6,0,173,0,0,21
1/6/2016,2,0,345,0,0,109
1/6/2016,14,0,5673,233,0,1081
1/6/2016,12,0,2413,245,0,1085
1/6/2016,16,0,2789,229,0,1345
1/6/2016,4,0,73,0,0,13
1/6/2016,10,0,2429,177,0,521
1/6/2016,18,0,2117,141,0,1241
1/6/2016,20,0,977,129,0,657
1/6/2016,19,0,1569,145,0,937
1/6/2016,5,0,129,0,0,17
1/6/2016,1,0,313,0,0,97
1/6/2016,21,0,1545,1,0,529
1/6/2016,22,0,801,0,0,357
1/6/2016,13,0,2965,237,0,1149
1/6/2016,7,0,397,0,0,49
1/6/2016,0,0,733,0,0,221
1/6/2016,11,0,2589,225,0,793
1/6/2016,23,0,877,0,0,325
1/6/2016,9,0,1985,145,0,345
1/6/2016,15,0,2753,229,0,1325
1/6/2016,17,0,2865,201,0,1257
1/7/2016,11,0,1933,181,0,781
1/7/2016,6,0,145,0,0,21
1/7/2016,4,0,81,0,0,5
1/7/2016,1,0,337,0,0,73
1/7/2016,13,0,2889,269,0,1197
1/7/2016,7,0,233,0,0,61
1/7/2016,19,0,1493,121,0,917
1/7/2016,3,0,117,0,0,41
1/7/2016,12,0,2161,205,0,1117
1/7/2016,22,0,949,0,0,361
1/7/2016,8,0,749,0,0,105
1/7/2016,23,0,345,0,0,213
1/7/2016,20,0,1009,129,0,553
1/7/2016,0,0,429,0,0,205
1/7/2016,14,0,2945,225,0,1185
1/7/2016,17,0,3069,217,0,1329
1/7/2016,18,0,2497,153,0,1201
1/7/2016,16,0,2957,209,0,1365
1/7/2016,2,0,117,0,0,37
1/7/2016,15,0,2717,145,0,1369
1/7/2016,10,0,2089,225,0,513
1/7/2016,21,0,1197,0,0,537
1/7/2016,5,0,125,0,0,1
1/7/2016,9,0,2209,161,0,313
1/8/2016,0,0,477,0,0,161
1/8/2016,5,0,105,0,0,5
1/8/2016,22,0,757,0,0,297
1/8/2016,16,0,2665,173,0,1429
1/8/2016,10,0,1533,133,0,417
